EVAL1 generated_predictions_part1.jsonl: MISSING
EVAL1 generated_predictions_part2.jsonl: MISSING
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: MISSING
EVAL1 generated_predictions_part2.jsonl: MISSING
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=0.1295 (518/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.1298 (519/4000)
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=1.0000 (4000/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.0000 (0/4000)
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=1.0000 (4000/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.0000 (0/4000)
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=1.0000 (4000/4000)
EVAL1 generated_predictions_part2.jsonl: acc=1.0000 (4000/4000)
EVAL2 generated_predictions.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=0.9965 (3986/4000)
EVAL1 generated_predictions_part2.jsonl: acc=1.0000 (4000/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.4387 (1755/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.4387 (1755/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=0.9768 (3907/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.9605 (3842/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.4387 (1755/4000)
EVAL1 generated_predictions_part1.jsonl: acc=0.9752 (3901/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.9942 (3977/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.0000 (0/0)
EVAL1 generated_predictions_part1.jsonl: acc=0.9752 (3901/4000)
EVAL1 generated_predictions_part2.jsonl: acc=0.9942 (3977/4000)
EVAL2 generated_predictions_part2.jsonl: acc=0.6522 (2609/4000)
